month,count
12/2019,452
11/2019,679
10/2019,705
09/2019,644
08/2019,465
07/2019,593
06/2019,469
05/2019,534
04/2019,380
03/2019,325
02/2019,211
01/2019,334
12/2018,244
11/2018,252
10/2018,277
09/2018,310
08/2018,371
07/2018,426
06/2018,236
05/2018,251
04/2018,234
03/2018,238
02/2018,241
01/2018,315
12/2017,507
11/2017,356
10/2017,489
09/2017,452
08/2017,411
07/2017,517
06/2017,422
05/2017,365
04/2017,415
03/2017,349
02/2017,422
01/2017,338
12/2016,357
11/2016,498
10/2016,492
09/2016,596
08/2016,560
07/2016,696
06/2016,437
05/2016,387
04/2016,390
03/2016,414
02/2016,436
01/2016,423
12/2015,440
11/2015,906
10/2015,664
09/2015,734
08/2015,628
07/2015,744
06/2015,493
05/2015,468
04/2015,461
03/2015,482
02/2015,347
01/2015,542
12/2014,531
11/2014,551
10/2014,802
09/2014,842
08/2014,937
07/2014,1116
06/2014,790
05/2014,661
04/2014,673
03/2014,525
02/2014,560
01/2014,719
12/2013,772
11/2013,814
10/2013,802
09/2013,799
08/2013,928
07/2013,990
06/2013,656
05/2013,542
04/2013,431
03/2013,401
02/2013,285
01/2013,401
12/2012,680
11/2012,783
10/2012,683
09/2012,783
08/2012,910
07/2012,955
06/2012,774
05/2012,526
04/2012,506
03/2012,540
02/2012,399
01/2012,588
12/2011,539
11/2011,451
10/2011,647
09/2011,562
08/2011,647
07/2011,780
06/2011,415
05/2011,323
04/2011,319
03/2011,336
02/2011,278
01/2011,332
12/2010,309
11/2010,368
10/2010,480
09/2010,457
08/2010,538
07/2010,859
06/2010,392
05/2010,334
04/2010,296
03/2010,265
02/2010,193
01/2010,296
12/2009,296
11/2009,326
10/2009,328
09/2009,602
08/2009,507
07/2009,619
06/2009,395
05/2009,361
04/2009,320
03/2009,343
02/2009,397
01/2009,501
12/2008,351
11/2008,462
10/2008,539
09/2008,390
08/2008,510
07/2008,579
06/2008,490
05/2008,349
04/2008,445
03/2008,343
02/2008,372
01/2008,476
12/2007,362
11/2007,375
10/2007,450
09/2007,453
08/2007,475
07/2007,467
06/2007,437
05/2007,320
04/2007,324
03/2007,365
02/2007,268
01/2007,442
12/2006,387
11/2006,413
10/2006,402
09/2006,331
08/2006,431
07/2006,432
06/2006,345
05/2006,302
04/2006,277
03/2006,61
02/2006,30
01/2006,50
12/2005,31
11/2005,54
10/2005,56
09/2005,38
08/2005,56
07/2005,62
06/2005,90
05/2005,33
04/2005,29
03/2005,26
02/2005,10
01/2005,16
12/2004,17
11/2004,20
10/2004,36
09/2004,32
08/2004,38
07/2004,31
06/2004,56
05/2004,18
04/2004,28
03/2004,21
02/2004,12
01/2004,11
12/2003,11
11/2003,12
10/2003,28
09/2003,14
08/2003,34
07/2003,30
06/2003,37
05/2003,18
04/2003,3
03/2003,12
02/2003,10
01/2003,16
12/2002,9
11/2002,7
10/2002,26
09/2002,16
08/2002,22
07/2002,26
06/2002,47
05/2002,12
04/2002,13
03/2002,8
02/2002,13
01/2002,9
12/2001,13
11/2001,12
10/2001,20
09/2001,47
08/2001,18
07/2001,31
06/2001,39
05/2001,20
04/2001,14
03/2001,13
02/2001,14
01/2001,11
12/2000,11
11/2000,7
10/2000,22
09/2000,18
08/2000,15
07/2000,35
06/2000,48
05/2000,14
04/2000,16
03/2000,9
02/2000,18
01/2000,19
12/1999,10
11/1999,19
10/1999,18
09/1999,22
08/1999,22
07/1999,20
06/1999,52
05/1999,14
04/1999,4
03/1999,8
02/1999,7
01/1999,6
12/1998,12
11/1998,11
10/1998,15
09/1998,18
08/1998,27
07/1998,26
06/1998,48
05/1998,14
04/1998,15
03/1998,13
02/1998,4
01/1998,12
12/1997,9
11/1997,13
10/1997,19
09/1997,12
08/1997,18
07/1997,46
06/1997,67
05/1997,13
04/1997,13
03/1997,55
02/1997,7
01/1997,14
12/1996,9
11/1996,7
10/1996,14
09/1996,20
08/1996,28
07/1996,20
06/1996,55
05/1996,11
04/1996,9
03/1996,7
02/1996,6
01/1996,5
12/1995,12
11/1995,13
10/1995,13
09/1995,14
08/1995,26
07/1995,26
06/1995,59
05/1995,15
04/1995,14
03/1995,7
02/1995,5
01/1995,13
12/1994,10
11/1994,11
10/1994,30
09/1994,13
08/1994,26
07/1994,28
06/1994,44
05/1994,8
04/1994,4
03/1994,9
02/1994,1
01/1994,7
12/1993,7
11/1993,3
10/1993,12
09/1993,12
08/1993,12
07/1993,15
06/1993,46
05/1993,13
04/1993,8
03/1993,7
02/1993,5
01/1993,5
12/1992,3
11/1992,9
10/1992,17
09/1992,13
08/1992,12
07/1992,21
06/1992,29
05/1992,8
04/1992,7
03/1992,6
02/1992,3
01/1992,1
12/1991,4
11/1991,6
10/1991,12
09/1991,12
08/1991,10
07/1991,12
06/1991,30
05/1991,12
04/1991,6
03/1991,6
02/1991,2
01/1991,5
12/1990,6
